,ZCTA,Estimate  HOUSEHOLDS BY TYPE  Total households,Percent  COMPUTERS AND INTERNET USE  Total households  With a computer,Estimate  HOUSEHOLDS BY TYPE  Total households  Married-couple household  With children of the householder under 18 years
1623,95913,96,86.5,3
1624,95914,254,79.1,12
1625,95915,0,-,0
1626,95916,486,86.2,10
1627,95917,1293,97.9,259
1628,95918,820,97.8,84
1629,95919,529,90.7,0
1630,95920,102,62.7,9
1631,95922,265,88.7,53
1632,95923,39,100,0
1633,95925,105,88.6,21
1634,95926,17314,97.2,2163
1635,95928,15690,95.6,1940
1636,95929,0,-,0
1637,95930,176,62.5,0
1638,95932,3002,92,516
1639,95934,60,100,0
1640,95935,165,100,0
1641,95936,56,85.7,0
1642,95937,515,81,63
1643,95938,1408,100,315
1644,95939,180,82.2,28
1645,95941,119,100,0
1646,95942,863,100,191
1647,95943,247,98.4,48
1648,95944,64,0,0
1649,95945,11680,91,1422
1650,95946,3563,97.4,411
1651,95947,689,88.4,59
1652,95948,3821,93.2,1017
1653,95949,7914,93.3,1127
1654,95950,205,84.4,27
1655,95951,814,85.1,230
1656,95953,3244,93.2,628
1657,95954,4377,94.6,543
1658,95955,507,76.7,92
1659,95956,196,80.6,39
1660,95957,285,92.3,73
1661,95958,0,-,0
1662,95959,7577,96.9,740
1663,95960,276,88.8,46
1664,95961,9437,92.7,2802
1665,95962,454,100,162
1666,95963,5710,91.4,1333
1667,95965,7704,90.6,990
1668,95966,11923,91.7,1769
1669,95968,507,81.1,53
1670,95969,4113,94.1,337
1671,95970,192,92.7,50
1672,95971,2145,93.6,278
1673,95972,54,100,0
1674,95973,15175,96.7,3104
1675,95974,51,100,0
1676,95975,730,94.7,16
1677,95977,688,89,220
1678,95978,36,75,0
1679,95979,163,85.9,6
1680,95981,18,100,18
1681,95982,1115,95.3,223
1682,95983,174,94.3,0
1683,95984,94,64.9,0
1684,95986,35,100,0
1685,95987,1871,85.9,789
1686,95988,2805,89.9,622
1687,95991,14445,91.2,3167
1688,95993,12585,92.6,3243
1689,96001,13369,95.2,1875
1690,96002,12688,93.8,2477
1691,96003,18350,93.8,2284
1692,96006,216,83.3,23
1693,96007,9531,92.4,1626
1694,96008,441,95,47
1695,96009,143,83.9,15
1696,96010,14,100,0
1697,96011,87,64.4,5
1698,96013,1600,94.8,227
1699,96014,66,74.2,15
1700,96015,80,73.8,0
1701,96016,133,100,0
1702,96017,84,94,0
1703,96019,4050,91,740
1704,96020,1155,91.4,103
1705,96021,5379,85,828
1706,96022,5720,94,1032
1707,96023,502,80.3,77
1708,96024,319,84,36
1709,96025,959,89.9,123
1710,96027,844,90,132
1711,96028,607,93.7,99
1712,96029,59,91.5,12
1713,96031,29,86.2,1
1714,96032,1031,91.7,193
1715,96033,174,85.1,19
1716,96034,159,84.3,30
1717,96035,1483,86.3,279
1718,96037,43,100,0
1719,96038,259,95,29
1720,96039,414,87.2,29
1721,96040,38,100,0
1722,96041,1095,82.5,31
1723,96044,453,87.4,58
1724,96046,54,100,0
1725,96047,354,91.2,49
1726,96048,401,88,20
1727,96050,245,77.1,12
1728,96051,575,97.9,8
1729,96052,611,93.3,48
1730,96054,121,96.7,4
1731,96055,1588,85.1,330
1732,96056,542,90.4,82
1733,96057,495,81.2,49
1734,96058,200,84.5,52
1735,96059,182,72.5,0
1736,96061,0,-,0
1737,96062,410,90.5,64
1738,96063,76,100,19
1739,96064,1799,94.4,271
1740,96065,151,100,3
1741,96067,3655,95.5,480
1742,96068,19,94.7,0
1743,96069,459,86.9,82
1744,96071,10,100,0
1745,96073,1903,94.4,470
1746,96074,33,93.9,10
1747,96075,176,52.3,0
1748,96076,84,47.6,0
1749,96078,0,-,0
1750,96080,12031,91.5,2075
1751,96084,258,95,33
1752,96085,7,71.4,4
1753,96086,114,90.4,4
1754,96087,313,91.4,25
1755,96088,2221,92.7,134
1756,96090,209,85.2,25
1757,96091,338,86.1,36
1758,96092,91,90.1,26
1759,96093,1695,93.2,92
1760,96094,2855,90.1,398
1761,96096,333,95.8,31
1762,96097,4165,90.5,544
1763,96101,2041,86.4,267
1764,96103,681,95.3,27
